SST,COEFF1,COEFF2,COEFF3,COEFF4
14.699,1.015,0.812,0.335,0.272
14.74,1.007,0.817,0.337,0.273
14.779,0.995,0.824,0.336,0.272
14.818,0.993,0.825,0.336,0.271
14.858,1.001,0.825,0.337,0.272
14.897,1.009,0.823,0.338,0.272
14.936,1.011,0.827,0.337,0.271
14.975,1.009,0.83,0.335,0.272
15.013,1.014,0.829,0.335,0.272
15.052,1.02,0.829,0.337,0.27
15.091,1.032,0.828,0.344,0.266
15.132,1.051,0.82,0.349,0.264
15.172,1.074,0.815,0.358,0.259
15.212,1.082,0.813,0.365,0.258
15.253,1.091,0.809,0.369,0.256
15.295,1.088,0.809,0.369,0.257
15.336,1.083,0.811,0.371,0.257
15.378,1.084,0.811,0.367,0.259
15.418,1.091,0.812,0.365,0.259
15.459,1.104,0.812,0.364,0.26
15.5,1.109,0.812,0.365,0.259
15.542,1.115,0.813,0.362,0.261
15.585,1.102,0.815,0.365,0.261
15.627,1.095,0.819,0.367,0.261
15.67,1.071,0.825,0.368,0.261
15.713,1.064,0.827,0.37,0.261
15.757,1.054,0.832,0.37,0.259
15.801,1.059,0.832,0.37,0.259
15.844,1.063,0.831,0.37,0.26
15.888,1.079,0.827,0.373,0.26
15.933,1.097,0.825,0.375,0.262
15.976,1.118,0.821,0.379,0.261
16.02,1.138,0.82,0.385,0.262
16.064,1.152,0.818,0.389,0.261
16.108,1.156,0.82,0.392,0.26
16.152,1.156,0.823,0.396,0.26
16.196,1.151,0.825,0.402,0.258
16.24,1.16,0.825,0.407,0.255
16.285,1.157,0.831,0.409,0.255
16.329,1.158,0.831,0.411,0.255
16.374,1.16,0.833,0.411,0.255
16.419,1.181,0.832,0.412,0.255
16.464,1.185,0.833,0.412,0.255
16.51,1.195,0.834,0.415,0.255
16.558,1.213,0.835,0.418,0.254
16.605,1.227,0.835,0.421,0.254
16.652,1.225,0.838,0.421,0.253
16.7,1.233,0.84,0.425,0.254
16.749,1.243,0.841,0.425,0.254
16.798,1.249,0.843,0.429,0.256
16.848,1.246,0.846,0.426,0.257
16.898,1.245,0.849,0.426,0.257
16.948,1.235,0.854,0.426,0.258
16.998,1.229,0.854,0.427,0.257
17.048,1.231,0.854,0.426,0.255
17.098,1.25,0.848,0.428,0.255
17.148,1.265,0.845,0.43,0.255
17.198,1.277,0.839,0.431,0.255
17.248,1.285,0.838,0.431,0.255
17.298,1.27,0.841,0.427,0.255
17.35,1.255,0.844,0.421,0.255
17.402,1.233,0.846,0.415,0.254
17.454,1.215,0.854,0.408,0.254
17.507,1.22,0.853,0.405,0.254
17.56,1.232,0.851,0.402,0.255
17.613,1.241,0.849,0.404,0.256
17.666,1.256,0.85,0.405,0.256
17.72,1.268,0.85,0.405,0.258
17.775,1.272,0.851,0.405,0.258
17.83,1.282,0.852,0.406,0.259
17.885,1.274,0.857,0.405,0.261
17.94,1.294,0.856,0.406,0.262
17.996,1.31,0.854,0.407,0.263
18.052,1.318,0.853,0.402,0.267
18.109,1.336,0.848,0.401,0.268
18.169,1.358,0.843,0.396,0.27
18.229,1.361,0.839,0.392,0.272
18.289,1.379,0.834,0.385,0.275
18.348,1.384,0.834,0.383,0.276
18.408,1.383,0.834,0.38,0.278
